"ID","Lake","Lake_type","ID_Art","Order","Suborder","Taxon_agg","Taxon","BD","ship_EM","ship_DM","ship_DM_I","DM_all","AFDM_all","LOM","ind_1","ind_2","ind_3","ind_4","ind_5","ind_6","ind_7","ind_8","ind_9","ind_10","ind_11","ind_12","ind_13","ind_14","ind_15","ind_16","no_ind","length_ind","M_ind","M_type"
1,"Rathsburgsee","Shallow lake",4298,"Trichoptera","Trichoptera","Anabolia furcata","Anabolia furcata","HW",123.85,172.67,NA,48.82,NA,NA,1.5496,1.6163,1.564,1.566,1.6096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1.58,9.76,"DM"
2,"Rathsburgsee","Shallow lake",4298,"Trichoptera","Trichoptera","Anabolia furcata","Anabolia furcata","HW",121.26,136.31,NA,15.05,NA,NA,1.1239,1.1051,1.0526,1.1535,1.1192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1.11,3.01,"DM"
3,"Rathsburgsee","Shallow lake",4298,"Trichoptera","Trichoptera","Anabolia furcata","Anabolia furcata","HW",124.53,134.19,NA,9.66,NA,NA,1.0757,1.0572,1.0403,1.085,1.0675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1.07,1.93,"DM"
4,"Rathsburgsee","Shallow lake",4298,"Trichoptera","Trichoptera","Anabolia furcata","Anabolia furcata","HW",128.63,165.92,NA,37.29,NA,NA,1.5508,1.6489,1.6406,1.5397,1.536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1.58,7.46,"DM"
5,"Rathsburgsee","Shallow lake",4298,"Trichoptera","Trichoptera","Anabolia furcata","Anabolia furcata","HW",118.82,197.99,NA,79.17,NA,NA,1.616,1.6179,1.5764,1.6371,1.5805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1.61,15.83,"DM"
6,"Rathsburgsee","Shallow lake",4298,"Trichoptera","Trichoptera","Anabolia furcata","Anabolia furcata","HW",118.86,122.17,NA,3.31,NA,NA,0.7653,0.7753,0.7572,0.7573,0.7529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.76,0.66,"DM"
7,"Rathsburgsee","Shallow lake",4298,"Trichoptera","Trichoptera","Anabolia furcata","Anabolia furcata","HW",117.83,120.93,NA,3.1,NA,NA,0.7045,0.7146,0.7578,0.7396,0.7025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.72,0.62,"DM"
8,"Schulzensee","Shallow lake",4298,"Trichoptera","Trichoptera","Anabolia furcata","Anabolia furcata","HW",106.55,202.58,NA,96.03,NA,NA,1.5355,1.5374,1.534,1.7006,1.5216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1.57,19.21,"DM"
9,"Schulzensee","Shallow lake",4298,"Trichoptera","Trichoptera","Anabolia furcata","Anabolia furcata","HW",104.94,199.36,NA,94.42,NA,NA,1.5607,1.5679,1.6141,1.6133,1.5777,1.5735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1.58,15.74,"DM"
10,"Schulzensee","Shallow lake",4298,"Trichoptera","Trichoptera","Anabolia furcata","Anabolia furcata","HW",106.8,192.25,NA,85.45,NA,NA,1.473,1.6281,1.6293,1.6297,1.7344,1.5105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1.6,14.24,"DM"
11,"Rathsburgsee","Shallow lake",4298,"Trichoptera","Trichoptera","Anabolia furcata","Anabolia furcata","HW",123.47,132.09,NA,8.62,NA,NA,1.1223,1.0925,1.1413,1.0755,1.1199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1.11,1.72,"DM"
12,"Rathsburgsee","Shallow lake",4298,"Trichoptera","Trichoptera","Anabolia furcata","Anabolia furcata","HW",124.05,148.14,NA,24.09,NA,NA,1.4895,1.4447,1.4759,1.434,1.4296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1.45,4.82,"DM"
13,"Rathsburgsee","Shallow lake",4298,"Trichoptera","Trichoptera","Anabolia furcata","Anabolia furcata","HW",128.68,134.63,NA,5.95,NA,NA,1.093,1.0898,1.0715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.08,1.98,"DM"
14,"Schulzensee","Shallow lake",4298,"Trichoptera","Trichoptera","Anabolia furcata","Anabolia furcata","HW",103.77,197.55,NA,93.78,NA,NA,1.6442,1.487,1.5975,1.5504,1.6087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1.58,18.76,"DM"
